method,case_type,count,processed_ok,accuracy,precision,recall,f1
classic,insult,700,700,0.05285714,1.00000000,0.05285714,0.10040706
classic,threat,700,700,0.16142857,1.00000000,0.16142857,0.27798278
classic,obscene,700,700,0.17714286,1.00000000,0.17714286,0.30097087
classic,identity_attack,700,700,0.09571429,1.00000000,0.09571429,0.17470665
classic,sexual_explicit,700,700,0.05714286,1.00000000,0.05714286,0.10810811
classic,clean,700,700,0.99000000,0.00000000,0.00000000,0.00000000
llm,insult,700,685,0.00000000,0.00000000,0.00000000,0.00000000
llm,threat,700,665,0.00000000,0.00000000,0.00000000,0.00000000
llm,obscene,700,684,0.00000000,0.00000000,0.00000000,0.00000000
llm,identity_attack,700,649,0.00000000,0.00000000,0.00000000,0.00000000
llm,sexual_explicit,700,669,0.00000000,0.00000000,0.00000000,0.00000000
llm,clean,700,684,1.00000000,0.00000000,0.00000000,0.00000000
hybrid,insult,700,700,0.05285714,1.00000000,0.05285714,0.10040706
hybrid,threat,700,699,0.16165951,1.00000000,0.16165951,0.27832512
hybrid,obscene,700,699,0.17739628,1.00000000,0.17739628,0.30133657
hybrid,identity_attack,700,699,0.09728183,1.00000000,0.09728183,0.17731421
hybrid,sexual_explicit,700,700,0.05714286,1.00000000,0.05714286,0.10810811
hybrid,clean,700,700,0.99000000,0.00000000,0.00000000,0.00000000
