method,case_type,count,processed_ok,accuracy,precision,recall,f1
classic,insult,2857,2857,0.04375219,1.00000000,0.04375219,0.08383635
classic,threat,2857,2857,0.16415821,1.00000000,0.16415821,0.28202044
classic,obscene,2857,2857,0.17080854,1.00000000,0.17080854,0.29177877
classic,identity_attack,2857,2857,0.09450473,1.00000000,0.09450473,0.17268948
classic,sexual_explicit,2857,2857,0.06440322,1.00000000,0.06440322,0.12101282
classic,clean,2858,2858,0.99335199,0.00000000,0.00000000,0.00000000
hybrid,insult,2857,2857,0.04445222,1.00000000,0.04445222,0.08512064
hybrid,threat,2857,2857,0.16660833,1.00000000,0.16660833,0.28562856
hybrid,obscene,2857,2857,0.17500875,1.00000000,0.17500875,0.29788502
hybrid,identity_attack,2857,2857,0.09625481,1.00000000,0.09625481,0.17560664
hybrid,sexual_explicit,2857,2857,0.06545327,1.00000000,0.06545327,0.12286465
hybrid,clean,2858,2858,0.99265220,0.00000000,0.00000000,0.00000000
