text,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit,_primary_case_type,_obfuscation_type,_original_text
"G0 70 c0ll3g3 @nd l3@rn 70 b3 @n @lc0h0l1c w17h hug3 b1ll$
wh3n y0u gr@du@73.",0.30000001192092896,0.10000000149011612,0.0,0.0,0.20000000298023224,0.0,0.0,severe_toxicity,leet,"Go to college and learn to be an alcoholic with huge bills
when you graduate."
"7h3 r3publ1c@n$ n0m1n@710n 0f 7rump ju$7 m3@n$ 7h3 G0P 1$ d3$7r0y1ng 17$ $3lf. @$ f0r b31ng @nd 3x1$71ng @$ @ r@c1$7, w3ll $0m30n3 h@$ 70 @pp3@l 70 7h3m @nd 7h@7 w0uld b3 7rump. @nd 7rump l1k3$ @ny0n3 wh0 l1k3$ h1m. H3 h@$ 7h@7 b1g 0f @ 3g0.

7h3 G0P 1$ l0$1ng @ b@77l3 7h@7 $7@r73d @7 ""1 @m n07 @ cr00k.""... Qu3$710n 1 h@v3, b31ng @ r3$1d3n7 1n @l@$k@, 1$ wh3n w1ll 0ur 3l3c73d 0ff1c1@l$ d3n0unc3 7rump? @ $3lf $3rv1ng, 3g0 m@n1@c w17h @ l1k1ng 70w@rd$ r@c1$7$.",0.6000000238418579,0.10000000149011612,0.0,0.0,0.6000000238418579,0.0,0.0,severe_toxicity,leet,"The republicans nomination of Trump just means the GOP is destroying its self. As for being and existing as a racist, well someone has to appeal to them and that would be Trump. And Trump likes anyone who likes him. He has that big of a ego.

The GOP is losing a battle that started at ""I am not a crook.""... Question I have, being a resident in Alaska, is when will our elected officials denounce Trump? A self serving, ego maniac with a liking towards racists."
GО-GО- ЅUЕ Ѕ-----YОU HІT THЕ HЕАD ---оn THЕ NАІL----,0.6000000238418579,0.0,0.0,0.6000000238418579,0.0,0.0,0.0,threat,homoglyph,GO-GO- SUE S-----YOU HIT THE HEAD ---on THE NAIL----
Wh1ch 3xpl@1n3$ 7h3 m3$$ B@m@ h@$ cr3@73d 7h3 l@$7 8 y3@r$....,0.30000001192092896,0.10000000149011612,0.0,0.0,0.20000000298023224,0.0,0.0,severe_toxicity,leet,Which explaines the mess Bama has created the last 8 years....
I'm_kinda_stunned_at_the_amount_of_wusses_who_feel_they_have_to_be_armed_everywhere_they_go---Kind_of_a_wild_west_mentality_if_you_ask_me.__Maybe_you_should_watch_less_TV_and_get_out_in_the_real_world_for_a_change...Just_saying.,0.30000001192092896,0.10000000149011612,0.0,0.0,0.10000000149011612,0.10000000149011612,0.0,identity_attack,underscore,I'm kinda stunned at the amount of wusses who feel they have to be armed everywhere they go---Kind of a wild west mentality if you ask me.  Maybe you should watch less TV and get out in the real world for a change...Just saying.
"N07 0nc3 d1d 1 $@y 1 w@$ @g@1n$7 gun$ $0 @pp@r3n7ly r3@d1ng c0mpr3h3n$10n 1$n'7 y0ur $7r0ng $u17!  $3c0ndly w17h 7h@7 b31ng 7h3 c@$3 n0 3v3ry0n3 $h0uld n07 f0ll0w 7h1$ m@n$ 3x@mpl3 b3c@u$3 7h3y @r3 m0r3 l1k3ly 70 k1ll $0m30n3 3l$3 0n @cc1d3n7.  

7h1$ guy pu7 h1m$3lf 1n @ d@ng3r0u$ p0$1710n @nd h@d 7h3 m@n b33n m0r3 f0rc3ful h3'd b3 @n @rm3d 1d107 @nd 0ur G00d $@m@r17@n w0uld b3 d3@d ... 7h1$ 1$ c@ll3d c0mm0n $3n$3.  

1 b3l13v3 1n c@rry1ng.  Bu7 1 @l$0 b3l13v3 1n b31ng r3$p0n$1bl3 @nd $m@r7 @$ @ gun 0wn3r.  7h@7'$ 7h3 d1ff3r3nc3!",0.8333333134651184,0.0,0.1666666716337204,0.0,0.8333333134651184,0.0,0.0,obscene,leet,"Not once did I say I was against guns so apparently reading comprehension isn't your strong suit!  Secondly with that being the case no everyone should not follow this mans example because they are more likely to kill someone else on accident.  

This guy put himself in a dangerous position and had the man been more forceful he'd be an armed idiot and our Good Samaritan would be dead ... This is called common sense.  

I believe in carrying.  But I also believe in being responsible and smart as a gun owner.  That's the difference!"
h​0​0​d​$ @​r​3​n​'​7 7h3 0​n​l​y p​l​@​c​3​$ r​1​0​7​$ @r3 f​0​u​n​d​. d1d u f​0​r​g​3​7 w​h​1​7​3 p​3​0​p​l​3 r​1​0​7 0​v​3​r $​1​l​l​y 7​h​1​n​g​$ $​u​c​h @$ $​p​0​r​7​$​?,0.5,0.10000000149011612,0.0,0.0,0.5,0.0,0.0,severe_toxicity,mixed,hoods aren't the only places riots are found. did u forget white people riot over silly things such as sports?
"N07 n3c3$$@r1ly. 7h3r3 w@$ n07h1ng 70 v073 f0r. 1 v073d l1b3r7@r1@n bu7 1f 1 7h0ugh7 J0n$0n c0uld w1n 1 w0uld n07 h@v3. Wh1l3 H1ll@ry @nd D0n@ld @r3 v3ry p00r ch01c3$, $0 w3r3 $731n @nd J0hn$0n. @p@7hy @nd l@ck 0f ch01c3 @r3 n07 7h3 $@m3 7h1ng.",0.1666666716337204,0.1666666716337204,0.0,0.0,0.1666666716337204,0.0,0.0,severe_toxicity,leet,"Not necessarily. There was nothing to vote for. I voted libertarian but if I thought Jonson could win I would not have. While Hillary and Donald are very poor choices, so were Stein and Johnson. Apathy and lack of choice are not the same thing."
"Y*s, put it to a v*t*.  We n**d to d*c*de a lot of the imp*rt*nt c*ty b*s*n*ss by b*ll*t m**s*r*.  It's v*ry ups*tt*ng to be t*ld by c*ty ""*ff*c**ls"", who m*stly are r*nn*ng un*pp*s*d for off*c*, ex*ctly how we are g**ng to l*ve h*re in E*g*n*.  El*ct*d off*c**ls s**m int*m*d*t*d by p*bl*c v*t*s th*se d*ys.",0.1666666716337204,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,insult,asterisk,"Yes, put it to a vote.  We need to decide a lot of the important city business by ballot measure.  It's very upsetting to be told by city ""officials"", who mostly are running unopposed for office, exactly how we are going to live here in Eugene.  Elected officials seem intimidated by public votes these days."
Excellent_job_well_done_by_the_homeowner._He_help_get_some_scumbag_criminal_off_the_street_before_he_could_cause_any_hardships_for_the_good_people_in_our_community._Thank_you_Homeowner!_Hope_it_was_a_knee_cap_he_hit.,0.4000000059604645,0.10000000149011612,0.10000000149011612,0.0,0.4000000059604645,0.0,0.0,obscene,underscore,Excellent job well done by the homeowner. He help get some scumbag criminal off the street before he could cause any hardships for the good people in our community. Thank you Homeowner! Hope it was a knee cap he hit.
